geom_x_y;objectid;arrondissement;identifiant;numero_voie;nom_voie;x;y;horaires_ouverture;gestionnaire;source
48.8992899143, 2.34053038252;310;18;18/113;opposé au 17;RUE RENE BINET;600293.749197;133207.131064;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.877068392, 2.39255357281;342;19;19/105;;RUE DES FETES;604109.608318;130737.606354;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8736801872, 2.38975171918;390;20;20/137;face 375;RUE DES PYRENEES;603904.36437;130360.686532;6 h - 1 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8649204146, 2.39982370311;395;20;20/162;1;RUE BELGRAND;604643.975574;129387.165755;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8700582311, 2.32934537933;16;02;2/111;37;BOULEVARD DES CAPUCINES;599473.399498;129956.564359;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8431229675, 2.35207299082;48;05;5/111;face 75 bis;RUE MONGE;601141.234686;126961.437654;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8816653953, 2.34551626208;88;09;9/119;11;AVENUE TRUDAINE;600659.506252;131247.304413;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8553275619, 2.41523391124;379;20;20/111;12;AVENUE DU PROFESSEUR ANDRE LEMIERE;605775.651784;128321.496522;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.9010611628, 2.33553744078;319;18;18/123;opposé au 94;RUE JEAN HENRI FABRE;599927.699332;133404.087108;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8978997141, 2.32937581204;324;18;18/134;2;AVENUE DE LA PORTE DE SAINT OUEN;599475.945;133052.556;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8973126836, 2.38565335157;354;19;19/119;26 bis;AVENUE CORENTIN CARIOU;603602.045605;132988.431616;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8499307054, 2.36673549452;31;04;4/101;21 bis;BOULEVARD BOURDON;602217.120385;127718.790838;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8702743131, 2.33066568733;17;02;2/112;27;BOULEVARD DES CAPUCINES;599570.255758;129980.584519;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8605238452, 2.35117112561;43;04;4/131;115;RUE SAINT MARTIN;601074.676822;128896.414692;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8820890178, 2.33916330241;83;09;9/113;5;BOULEVARD DE CLICHY;600193.577557;131294.375135;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8763040445, 2.36139576778;97;10;10/107;1;AVENUE DE VERDUN;601824.305217;130651.381351;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8564861574, 2.34979645991;32;04;4/102;6;QUAI DE GESVRES;600973.89189;128447.402107;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.9007058379, 2.34022806856;315;18;18/118;opposé au 17;RUE LIEUTENANT COLONEL DAX;600271.578439;133364.581352;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8957747391, 2.34600060986;321;18;18/128;face 51;PLACE ALBERT KAHN;600694.841248;132816.277434;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
